Characteristic,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
Under 19 years,4.5,0.2,4.4,0.2,4.3,0.2,4.7,0.2,4.7,0.2,4.0,0.2,4.3,0.2,4.5,0.2,4.3,0.2,4.8,0.2,4.2,0.2,5.4,0.3,5.4,0.3,4.5,0.2,4.0,0.2,3.4,0.2,3.2,0.2,2.9,0.2,2.8,0.2,2.6,0.2,2.8,0.2,2.9,0.2,1.7,0.2
Under 18 years,4.4,0.2,4.3,0.2,4.2,0.2,4.6,0.2,4.7,0.2,4.0,0.2,4.3,0.2,4.4,0.2,4.2,0.2,4.7,0.3,4.1,0.2,5.4,0.3,5.2,0.3,4.4,0.2,3.8,0.2,3.2,0.2,3.1,0.2,2.8,0.2,2.7,0.2,2.4,0.2,2.6,0.2,2.8,0.2,1.6,0.2
Under 6 years,3.3,0.2,3.4,0.2,4.1,0.3,3.6,0.3,3.7,0.3,3.5,0.3,3.4,0.2,3.7,0.3,3.3,0.3,4.2,0.4,3.1,0.3,4.2,0.3,4.4,0.4,3.7,0.3,2.9,0.2,2.3,0.2,2.2,0.2,2.1,0.2,2.2,0.2,1.7,0.2,2.0,0.2,2.8,0.3,1.2,0.2
6–17 years,4.9,0.2,4.8,0.2,4.3,0.2,5.0,0.2,5.2,0.2,4.2,0.2,4.7,0.2,4.7,0.2,4.7,0.2,5.0,0.3,4.5,0.3,6.0,0.3,5.7,0.3,4.8,0.2,4.2,0.2,3.6,0.2,3.5,0.2,3.2,0.2,2.9,0.2,2.8,0.2,2.9,0.2,2.9,0.2,1.8,0.2
18–64 years,10.7,0.2,9.5,0.2,9.2,0.2,9.2,0.2,9.5,0.2,9.7,0.2,10.6,0.2,11.4,0.2,11.0,0.2,11.7,0.2,11.8,0.2,13.6,0.3,15.1,0.3,14.7,0.2,14.0,0.2,13.3,0.2,12.4,0.2,11.2,0.2,9.8,0.2,9.8,0.2,10.0,0.2,11.0,0.2,12.1,0.3
18–44 years,11.0,0.2,9.8,0.2,9.4,0.2,9.5,0.2,9.8,0.2,9.9,0.2,10.8,0.2,11.4,0.2,11.3,0.2,11.7,0.3,12.0,0.3,13.6,0.3,15.1,0.3,14.5,0.3,13.6,0.3,12.7,0.2,11.9,0.2,10.7,0.2,9.5,0.2,9.2,0.2,9.4,0.2,10.2,0.2,12.1,0.4
18–24 years,10.2,0.4,9.6,0.4,9.6,0.4,10.4,0.4,10.2,0.4,9.6,0.4,10.7,0.4,11.4,0.4,11.3,0.4,11.0,0.5,11.0,0.5,12.5,0.5,13.8,0.5,13.5,0.4,11.8,0.4,10.4,0.4,10.1,0.4,8.2,0.4,7.5,0.4,7.7,0.4,8.0,0.4,7.9,0.4,9.9,0.7
25–34 years,11.4,0.3,10.6,0.3,10.0,0.3,9.4,0.3,9.9,0.3,10.1,0.3,11.4,0.4,11.8,0.4,11.8,0.4,13.1,0.5,12.8,0.4,15.0,0.5,16.1,0.5,15.3,0.4,15.1,0.4,13.7,0.4,13.0,0.4,12.3,0.4,10.3,0.3,9.7,0.3,10.2,0.4,11.6,0.4,13.3,0.6
35–44 years,11.0,0.3,9.1,0.3,8.7,0.3,9.0,0.3,9.5,0.3,9.9,0.3,10.4,0.3,11.1,0.3,10.8,0.3,10.8,0.4,12.0,0.4,13.0,0.5,15.2,0.5,14.4,0.4,13.5,0.4,13.4,0.4,12.1,0.4,11.0,0.3,10.1,0.3,9.8,0.3,9.6,0.4,10.5,0.4,12.3,0.6
19–25 years,11.1,0.4,10.6,0.4,10.5,0.4,10.9,0.4,11.2,0.4,10.5,0.4,11.6,0.4,12.6,0.4,12.5,0.4,12.2,0.5,12.2,0.5,14.3,0.6,15.2,0.5,14.8,0.5,13.2,0.4,11.5,0.4,11.2,0.4,9.1,0.4,8.4,0.4,8.0,0.4,8.8,0.4,8.6,0.4,11.1,0.8
